date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:07	27219/27219	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:55:50%20GMT	https://read-claymore-online.com/terms-and-conditions/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/terms-and-conditions/index.html	(from https://read-claymore-online.com/)
02:56:08	52324/52324	U-----	200	untouched ('')	image/jpeg	date:Thu,%2031%20Oct%202019%2013:18:33%20GMT	https://read-claymore-online.com/wp-content/uploads/2019/10/Claymore-2.jpeg	F:/My%20Web%20Sites/claymore/read-claymore-online.com/wp-content/uploads/2019/10/Claymore-2.jpg	(from https://read-claymore-online.com/)
02:56:17	30678/30678	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:00%20GMT	https://read-claymore-online.com/manga/claymore-chapter-155-2/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-155-2/index.html	(from https://read-claymore-online.com/)
02:56:18	33206/33206	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:07%20GMT	https://read-claymore-online.com/manga/claymore-chapter-155-1/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-155-1/index.html	(from https://read-claymore-online.com/)
02:56:18	38508/38508	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:07%20GMT	https://read-claymore-online.com/manga/claymore-chapter-155/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-155/index.html	(from https://read-claymore-online.com/)
02:56:19	36896/36896	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:08%20GMT	https://read-claymore-online.com/manga/claymore-chapter-154/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-154/index.html	(from https://read-claymore-online.com/)
02:56:19	36896/36896	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:17%20GMT	https://read-claymore-online.com/manga/claymore-chapter-153/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-153/index.html	(from https://read-claymore-online.com/)
02:56:20	38476/38476	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:18%20GMT	https://read-claymore-online.com/manga/claymore-chapter-152/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-152/index.html	(from https://read-claymore-online.com/)
02:56:20	40114/40114	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:18%20GMT	https://read-claymore-online.com/manga/claymore-chapter-151/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-151/index.html	(from https://read-claymore-online.com/)
02:56:20	36052/36052	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:18%20GMT	https://read-claymore-online.com/manga/claymore-chapter-150/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-150/index.html	(from https://read-claymore-online.com/)
02:56:21	39646/39646	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:19%20GMT	https://read-claymore-online.com/manga/claymore-chapter-149/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-149/index.html	(from https://read-claymore-online.com/)
02:56:21	38476/38476	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:19%20GMT	https://read-claymore-online.com/manga/claymore-chapter-148/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-148/index.html	(from https://read-claymore-online.com/)
02:56:22	38476/38476	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:19%20GMT	https://read-claymore-online.com/manga/claymore-chapter-147/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-147/index.html	(from https://read-claymore-online.com/)
02:56:22	35634/35634	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:20%20GMT	https://read-claymore-online.com/manga/claymore-chapter-146/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-146/index.html	(from https://read-claymore-online.com/)
02:56:22	39674/39674	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:20%20GMT	https://read-claymore-online.com/manga/claymore-chapter-145/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-145/index.html	(from https://read-claymore-online.com/)
02:56:23	38476/38476	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:21%20GMT	https://read-claymore-online.com/manga/claymore-chapter-144/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-144/index.html	(from https://read-claymore-online.com/)
02:56:23	39242/39242	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:21%20GMT	https://read-claymore-online.com/manga/claymore-chapter-143/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-143/index.html	(from https://read-claymore-online.com/)
